epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,968.476,0.84106,0.89581,1.0529,0.88143,0.8498,0.91013,0.67714,0.96039,0.82926,1.19254,0.000371313,0.000371313,0.000371313
43,991.514,0.84916,0.89582,1.06134,0.87987,0.85671,0.91838,0.69619,0.93669,0.79971,1.1556,0.000365125,0.000365125,0.000365125
44,1014.57,0.83056,0.86678,1.05083,0.88463,0.86435,0.91816,0.69473,0.95169,0.79392,1.17257,0.000358938,0.000358938,0.000358938
45,1037.59,0.84145,0.89625,1.06771,0.88757,0.86762,0.92521,0.70091,0.91122,0.7677,1.14932,0.00035275,0.00035275,0.00035275
46,1060.61,0.84072,0.88486,1.05529,0.91702,0.8504,0.91565,0.69087,0.94319,0.7957,1.16354,0.000346563,0.000346563,0.000346563
47,1083.62,0.84398,0.88058,1.06326,0.90551,0.8385,0.91347,0.69671,0.93552,0.78195,1.1576,0.000340375,0.000340375,0.000340375
48,1106.63,0.83427,0.87278,1.05199,0.88062,0.85187,0.91572,0.69124,0.9235,0.78746,1.15376,0.000334188,0.000334188,0.000334188
49,1129.61,0.82023,0.86035,1.05234,0.88127,0.83104,0.89642,0.68108,0.9391,0.81982,1.1618,0.000328,0.000328,0.000328
50,1152.81,0.8192,0.84509,1.04534,0.91928,0.84472,0.92621,0.70204,0.93182,0.74851,1.16127,0.000321812,0.000321812,0.000321812
51,1175.92,0.82902,0.86978,1.05167,0.89908,0.84329,0.92095,0.69531,0.91801,0.77471,1.14746,0.000315625,0.000315625,0.000315625
52,1199.05,0.79984,0.83126,1.04291,0.8923,0.86125,0.92622,0.70056,0.92517,0.74836,1.15576,0.000309437,0.000309437,0.000309437
53,1222.12,0.82324,0.84553,1.05028,0.85927,0.85344,0.91477,0.70036,0.91789,0.79556,1.14534,0.00030325,0.00030325,0.00030325
54,1245.19,0.80331,0.82539,1.03823,0.91934,0.85286,0.92822,0.70527,0.91765,0.74378,1.14486,0.000297063,0.000297063,0.000297063
55,1268.34,0.79558,0.82497,1.03652,0.89786,0.86866,0.92558,0.70495,0.91367,0.74267,1.15732,0.000290875,0.000290875,0.000290875
56,1291.37,0.81019,0.83057,1.03792,0.92088,0.85433,0.92518,0.71122,0.91505,0.73069,1.14858,0.000284688,0.000284688,0.000284688
57,1315,0.79343,0.80905,1.03653,0.88246,0.83499,0.91286,0.70057,0.90275,0.76383,1.13408,0.0002785,0.0002785,0.0002785
58,1338.29,0.80477,0.80539,1.03594,0.89567,0.85346,0.91949,0.70505,0.89654,0.78077,1.1331,0.000272313,0.000272313,0.000272313
59,1361.36,0.80232,0.81891,1.03708,0.87221,0.87719,0.92302,0.7021,0.91473,0.74891,1.13566,0.000266125,0.000266125,0.000266125
60,1384.38,0.79314,0.8072,1.03793,0.91891,0.83745,0.92592,0.70594,0.90355,0.72918,1.14162,0.000259938,0.000259938,0.000259938
61,1407.54,0.80276,0.82128,1.03831,0.89904,0.8725,0.92845,0.71444,0.90446,0.72626,1.14532,0.00025375,0.00025375,0.00025375
62,1430.65,0.78629,0.78825,1.03485,0.88043,0.88993,0.93575,0.71642,0.90295,0.7114,1.15322,0.000247563,0.000247563,0.000247563
63,1453.83,0.78702,0.7851,1.03582,0.91272,0.8671,0.92775,0.70309,0.92119,0.73307,1.15164,0.000241375,0.000241375,0.000241375
64,1476.95,0.78118,0.77834,1.02788,0.9166,0.86064,0.93023,0.71095,0.91596,0.73367,1.1461,0.000235188,0.000235188,0.000235188
65,1500.07,0.77016,0.76854,1.02895,0.89817,0.86061,0.92378,0.70148,0.90992,0.73686,1.14523,0.000229,0.000229,0.000229
66,1523.16,0.77429,0.78658,1.02722,0.87621,0.87759,0.93063,0.69996,0.92989,0.71445,1.17241,0.000222813,0.000222813,0.000222813
67,1546.22,0.76273,0.75131,1.02597,0.90772,0.87357,0.93086,0.70819,0.9241,0.707,1.16501,0.000216625,0.000216625,0.000216625
68,1569.35,0.77443,0.77298,1.02609,0.89317,0.84988,0.92533,0.70466,0.92706,0.73779,1.15776,0.000210437,0.000210437,0.000210437
69,1592.56,0.76466,0.75614,1.0256,0.88112,0.89104,0.93163,0.71245,0.89466,0.69747,1.12862,0.00020425,0.00020425,0.00020425
70,1615.65,0.75967,0.75678,1.02062,0.85562,0.862,0.91931,0.70692,0.89778,0.72485,1.1368,0.000198063,0.000198063,0.000198063
71,1638.79,0.76676,0.77357,1.02813,0.8822,0.86977,0.9242,0.70966,0.89391,0.71106,1.13121,0.000191875,0.000191875,0.000191875
72,1661.85,0.77888,0.77429,1.02831,0.90968,0.85124,0.92751,0.70251,0.90575,0.72766,1.14871,0.000185688,0.000185688,0.000185688
73,1684.89,0.76097,0.73925,1.01813,0.92609,0.86857,0.92902,0.70596,0.89988,0.69839,1.13918,0.0001795,0.0001795,0.0001795
74,1707.96,0.74975,0.73957,1.01541,0.9128,0.84641,0.92841,0.71239,0.89136,0.70642,1.12939,0.000173313,0.000173313,0.000173313
75,1731.02,0.7509,0.73859,1.00765,0.91111,0.87175,0.92157,0.70442,0.89898,0.71474,1.13238,0.000167125,0.000167125,0.000167125
76,1754.04,0.75967,0.74427,1.02107,0.92192,0.85769,0.92565,0.71513,0.89185,0.69731,1.13006,0.000160938,0.000160938,0.000160938
77,1777.15,0.74474,0.73295,1.01298,0.91023,0.84966,0.92417,0.71768,0.89127,0.70925,1.14019,0.00015475,0.00015475,0.00015475
78,1800.21,0.74301,0.73845,1.01343,0.89702,0.87077,0.92599,0.71412,0.88469,0.68632,1.12791,0.000148563,0.000148563,0.000148563
79,1823.34,0.74441,0.72421,1.01829,0.88515,0.87113,0.92835,0.72399,0.88404,0.69841,1.13053,0.000142375,0.000142375,0.000142375
80,1846.43,0.73993,0.72682,1.0053,0.88929,0.884,0.93378,0.714,0.89158,0.68412,1.13642,0.000136187,0.000136187,0.000136187
81,1869.5,0.74701,0.7365,1.02037,0.91668,0.87067,0.93615,0.71918,0.88524,0.67099,1.13283,0.00013,0.00013,0.00013
82,1892.64,0.74402,0.72924,1.02432,0.90571,0.86008,0.92031,0.70769,0.88772,0.69002,1.13057,0.000123812,0.000123812,0.000123812
83,1915.69,0.72784,0.70087,1.0022,0.90509,0.88798,0.93201,0.71939,0.87969,0.68075,1.12088,0.000117625,0.000117625,0.000117625
84,1938.8,0.73409,0.71313,1.00881,0.90899,0.88008,0.93149,0.71944,0.88126,0.68682,1.1286,0.000111438,0.000111438,0.000111438
85,1961.86,0.72417,0.70339,0.99745,0.90897,0.87321,0.92601,0.71599,0.88742,0.69294,1.1246,0.00010525,0.00010525,0.00010525
86,1984.93,0.72711,0.71243,1.00151,0.90661,0.86266,0.92393,0.71704,0.88163,0.69589,1.12656,9.90625e-05,9.90625e-05,9.90625e-05
87,2008.21,0.73044,0.71213,1.00416,0.91559,0.87549,0.93885,0.73262,0.8767,0.6575,1.12564,9.2875e-05,9.2875e-05,9.2875e-05
88,2031.16,0.72594,0.6913,1.00504,0.91896,0.88623,0.92982,0.72241,0.87894,0.6505,1.12779,8.66875e-05,8.66875e-05,8.66875e-05
89,2054.37,0.7138,0.68665,1.00111,0.91098,0.87932,0.93647,0.72174,0.8795,0.65847,1.12692,8.05e-05,8.05e-05,8.05e-05
90,2077.43,0.69912,0.67485,0.99375,0.91536,0.88017,0.93233,0.7209,0.88195,0.66883,1.12787,7.43125e-05,7.43125e-05,7.43125e-05
91,2101.12,0.6651,0.53314,0.99036,0.91179,0.86342,0.92882,0.71421,0.88948,0.68874,1.13103,6.8125e-05,6.8125e-05,6.8125e-05
92,2123.97,0.65345,0.51061,0.978,0.88701,0.88327,0.93266,0.7152,0.88737,0.68203,1.13989,6.19375e-05,6.19375e-05,6.19375e-05
93,2146.79,0.65087,0.49326,0.97458,0.90601,0.85753,0.92654,0.71145,0.88389,0.67302,1.13404,5.575e-05,5.575e-05,5.575e-05
94,2169.66,0.64693,0.48679,0.97576,0.91171,0.88464,0.934,0.71628,0.88094,0.6632,1.13536,4.95625e-05,4.95625e-05,4.95625e-05
95,2192.58,0.64149,0.4837,0.97692,0.90956,0.87603,0.93086,0.71268,0.87929,0.66895,1.12982,4.3375e-05,4.3375e-05,4.3375e-05
96,2215.49,0.64257,0.48689,0.97127,0.90465,0.87756,0.92693,0.71053,0.88245,0.675,1.1318,3.71875e-05,3.71875e-05,3.71875e-05
97,2238.36,0.62928,0.47459,0.96519,0.90775,0.88005,0.93291,0.71422,0.8763,0.66366,1.13308,3.1e-05,3.1e-05,3.1e-05
98,2261.27,0.62814,0.47214,0.96864,0.90509,0.8811,0.93545,0.72423,0.87011,0.65769,1.12463,2.48125e-05,2.48125e-05,2.48125e-05
99,2284.18,0.62895,0.47324,0.96858,0.90293,0.8792,0.9349,0.72101,0.8698,0.66068,1.12569,1.8625e-05,1.8625e-05,1.8625e-05
100,2307.06,0.62279,0.47095,0.97105,0.90747,0.8838,0.93373,0.71915,0.86843,0.65917,1.12384,1.24375e-05,1.24375e-05,1.24375e-05
