epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,971.765,0.92293,0.92128,1.11827,0.88304,0.90451,0.92844,0.66893,1.04873,0.7733,1.20586,0.000371313,0.000371313,0.000371313
43,994.781,0.91536,0.92227,1.11968,0.94446,0.86609,0.93861,0.64419,1.14234,0.78781,1.22959,0.000365125,0.000365125,0.000365125
44,1017.77,0.90399,0.90335,1.11429,0.92722,0.89129,0.94332,0.65089,1.13871,0.77481,1.2273,0.000358938,0.000358938,0.000358938
45,1040.77,0.9042,0.90091,1.12103,0.89396,0.88976,0.93147,0.62521,1.23045,0.78228,1.26745,0.00035275,0.00035275,0.00035275
46,1063.77,0.91311,0.91092,1.11555,0.91996,0.85726,0.92569,0.64732,1.12899,0.777,1.23277,0.000346563,0.000346563,0.000346563
47,1086.78,0.93105,0.91512,1.12835,0.8878,0.86397,0.92413,0.67353,1.00374,0.76712,1.19713,0.000340375,0.000340375,0.000340375
48,1109.84,0.9204,0.90606,1.11231,0.90536,0.84328,0.9267,0.66578,1.06594,0.77972,1.20342,0.000334188,0.000334188,0.000334188
49,1132.85,0.88693,0.88616,1.10776,0.85899,0.88212,0.92259,0.6391,1.1017,0.79402,1.21671,0.000328,0.000328,0.000328
50,1155.92,0.88292,0.87412,1.09831,0.91409,0.8568,0.92138,0.6608,1.03164,0.73838,1.18186,0.000321812,0.000321812,0.000321812
51,1178.94,0.87669,0.87789,1.10166,0.90806,0.86296,0.92755,0.66029,1.03736,0.73731,1.18744,0.000315625,0.000315625,0.000315625
52,1201.96,0.87824,0.86966,1.10028,0.87913,0.8748,0.91921,0.60524,1.21853,0.7751,1.26052,0.000309437,0.000309437,0.000309437
53,1224.97,0.87583,0.862,1.09907,0.88846,0.85482,0.92529,0.64695,1.09887,0.75208,1.20689,0.00030325,0.00030325,0.00030325
54,1247.99,0.86986,0.84661,1.09337,0.90686,0.87895,0.92664,0.6345,1.13675,0.72913,1.23235,0.000297063,0.000297063,0.000297063
55,1270.98,0.8571,0.83542,1.08497,0.89665,0.86769,0.92382,0.65904,1.04179,0.74079,1.1925,0.000290875,0.000290875,0.000290875
56,1294.01,0.86144,0.84573,1.0918,0.88748,0.87923,0.92583,0.65319,1.0866,0.72398,1.19927,0.000284688,0.000284688,0.000284688
57,1317.04,0.86172,0.83088,1.0887,0.91796,0.86478,0.92839,0.65058,1.06521,0.7112,1.19967,0.0002785,0.0002785,0.0002785
58,1340.09,0.88759,0.84161,1.09276,0.89442,0.85869,0.9266,0.68467,0.98123,0.71378,1.17608,0.000272313,0.000272313,0.000272313
59,1363.19,0.86059,0.83505,1.09393,0.9292,0.86788,0.92267,0.65569,1.02517,0.72328,1.17787,0.000266125,0.000266125,0.000266125
60,1386.26,0.83669,0.81391,1.08233,0.90694,0.87309,0.9213,0.6565,1.03943,0.71601,1.18251,0.000259938,0.000259938,0.000259938
61,1409.3,0.86317,0.83287,1.08707,0.92727,0.86317,0.92151,0.67129,0.99565,0.68954,1.18052,0.00025375,0.00025375,0.00025375
62,1432.33,0.83609,0.81475,1.08565,0.92588,0.86111,0.9251,0.63192,1.15689,0.72453,1.23086,0.000247563,0.000247563,0.000247563
63,1455.37,0.83681,0.81063,1.08337,0.93804,0.86943,0.93122,0.66679,1.04108,0.68373,1.19266,0.000241375,0.000241375,0.000241375
64,1478.43,0.85699,0.8134,1.08293,0.9326,0.86596,0.93103,0.65124,1.07302,0.71045,1.19536,0.000235188,0.000235188,0.000235188
65,1501.48,0.81466,0.77926,1.0733,0.93235,0.84726,0.91999,0.65009,1.06116,0.70589,1.19486,0.000229,0.000229,0.000229
66,1524.55,0.84644,0.80869,1.07777,0.90953,0.87295,0.9127,0.65916,1.01821,0.71806,1.18579,0.000222813,0.000222813,0.000222813
67,1547.61,0.82854,0.77871,1.07413,0.92839,0.84698,0.92064,0.6774,1.00553,0.69585,1.18304,0.000216625,0.000216625,0.000216625
68,1570.67,0.83223,0.78413,1.07705,0.91361,0.88,0.92898,0.67361,1.00829,0.6903,1.18972,0.000210437,0.000210437,0.000210437
69,1593.82,0.82425,0.78331,1.07174,0.92005,0.88024,0.93356,0.67978,1.00635,0.68173,1.17735,0.00020425,0.00020425,0.00020425
70,1616.96,0.80597,0.78093,1.06969,0.9174,0.86188,0.9191,0.65614,1.03253,0.70529,1.17857,0.000198063,0.000198063,0.000198063
71,1640.17,0.8052,0.77724,1.07333,0.92921,0.86746,0.92459,0.66468,1.00903,0.67767,1.16976,0.000191875,0.000191875,0.000191875
72,1663.24,0.8123,0.77671,1.06699,0.92071,0.86391,0.9262,0.67873,0.98115,0.67787,1.15994,0.000185688,0.000185688,0.000185688
73,1686.34,0.80754,0.7631,1.06419,0.9275,0.87772,0.93251,0.65058,1.09178,0.68559,1.19629,0.0001795,0.0001795,0.0001795
74,1709.39,0.79983,0.74886,1.05507,0.94734,0.85291,0.92473,0.65898,1.05749,0.67561,1.1925,0.000173313,0.000173313,0.000173313
75,1732.42,0.80587,0.75526,1.05557,0.91348,0.88824,0.92405,0.68196,0.97251,0.6599,1.16252,0.000167125,0.000167125,0.000167125
76,1755.37,0.80494,0.76344,1.06503,0.94667,0.85007,0.92603,0.67531,0.99797,0.69885,1.17097,0.000160938,0.000160938,0.000160938
77,1778.4,0.79698,0.75591,1.05836,0.92315,0.87235,0.93122,0.66265,1.04528,0.6887,1.18263,0.00015475,0.00015475,0.00015475
78,1801.4,0.79808,0.7546,1.05263,0.93622,0.88143,0.92425,0.68621,0.97215,0.67338,1.15405,0.000148563,0.000148563,0.000148563
79,1824.48,0.78716,0.75131,1.06063,0.92295,0.8812,0.92276,0.68458,0.97122,0.67914,1.16291,0.000142375,0.000142375,0.000142375
